tree,martelo,country,quadrant,species,social_status,DBH_cm,utmX,utmY,quality,Health,microhabitat,Total_height_m,Crownbase_height_m,V_m3ha,Bs_kg,B2_kg,B2_7_kg,B7_kg,Bs_B7.q.p_kg,B_kg,B,spNum,simpson,shannon,Even,D,MS,Mi,W,S,TH,A,G_m2ha,Hzones.st,Atmp,A.st,distij,MVij,Hzones.qd,Vij,THij
2733,Marugan,Spain,9,Pinus pinea,dominate,31,368716,4587384,inclinated,healthy,other,9.2,4.3,0.6,158.6812043,63.8613,50.4525,17.84575,0,290.8407543,0.290840754,2,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,0.333333333,0.495584433,0.65942029,1.386294361,0.075476763502495,zone2,4.604106009,1.85282856,5.099019514,1,zone3,0,0.663043478
2734,Marugan,Spain,9,Quercus faginea,dominate,7.1,368711,4587385,others,healthy,other,3.1,1.7,0.006,7.76314,3.23002075,5.46756942,4.340301,0,20.80103117,0.020801031,3,0.957196208,3.195729111,0.980857711,2.166666667,0.25,1,0.666666667,0.6208101,0.221014493,2.931717264,0.003959192141687,zone1,5.670455893,2.281959322,3.632214338,1,zone1,1,0
2735,Marugan,Spain,9,Quercus faginea,dominate,7.4,368715.117,4587391.643,others,healthy,other,3.2,1.9,0.007,8.43304,3.493688,5.90663264,4.714836,0,22.54819664,0.022548197,3,0.957196208,3.195729111,0.980857711,2.166666667,0.166666667,0.333333333,1,0.2459775,0.093224317,2.931717264,0.004300840342764,zone1,5.670455893,2.281959322,5.113706483,0,zone1,1,0.058823529
2736,Marugan,Spain,9,Quercus faginea,dominate,8.45,368715.537,4587396.748,others,healthy,other,3.7,2,0.01,10.995985,4.457301063,7.488265785,6.14775525,0,29.0893071,0.029089307,3,0.957196208,3.195729111,0.980857711,2.166666667,0.166666667,0.333333333,0.333333333,0.2459775,0.09009009,2.931717264,0.005607939236199,zone1,5.670455893,2.281959322,0.019723083,0,zone1,0,0.081081081
2737,Marugan,Spain,9,Quercus faginea,dominate,7.4,368715.554,4587396.738,others,healthy,other,3.4,2,0.007,8.43304,3.46357,5.84113968,4.714836,0,22.45258568,0.022452586,3,0.957196208,3.195729111,0.980857711,2.166666667,0.166666667,0.333333333,0.333333333,0.2459775,0.05615868,2.931717264,0.004300840342764,zone1,5.670455893,2.281959322,0.019723083,0,zone1,0,0.081081081
2738,Marugan,Spain,9,Juniperus thurifera,dominate,7.8,368714.781,4587397.336,inclinated,healthy,other,3.5,0,0.035,8.734908,7.4529,1.6864848,0,0,17.8742928,0.017874293,1,0.957196208,3.195729111,0.980857711,2.166666667,0.5,1,0.333333333,0.245696033,0.238068143,2.931717264,0.00477836242611,zone1,5.670455893,2.281959322,0.957747357,1,zone1,0,0.054054054
2739,Marugan,Spain,9,Pinus pinea,dominant,18.7,368710.344,4587396.688,inclinated,healthy,other,9.5,5,0.086,62.02875988,19.793583,18.358725,0,0,100.1810679,0.100181068,2,0.957196208,3.195729111,0.980857711,2.166666667,0.5,1,0.666666667,0.495584433,0.529824561,1.386294361,0.027464588375845,zone2,4.604106009,1.85282856,2.442883542,1,zone3,1,0.526315789
2740,Marugan,Spain,9,Quercus faginea,codominant,11.05,368708,4587396,others,healthy,other,4.5,2.5,0.019,18.803785,7.353623063,12.22123923,10.51302525,0,48.89167254,0.048891673,3,0.957196208,3.195729111,0.980857711,2.166666667,0.166666667,0.333333333,0.333333333,0.3709217,0.299975634,2.931717264,0.009589907924624,zone1,5.670455893,2.281959322,1,0,zone1,0,0.0625
2741,Marugan,Spain,9,Quercus faginea,codominant,11.9,368707,4587396,others,healthy,other,4.8,2.9,0.023,21.80794,8.411634,13.91969656,12.192621,0,56.33189156,0.056331892,3,0.957196208,3.195729111,0.980857711,2.166666667,0.166666667,0.333333333,1,0.2459775,0.1875,2.931717264,0.011122023391871,zone1,5.670455893,2.281959322,1,0,zone1,1,0.0625
2742,Marugan,Spain,9,Quercus faginea,suppressed,7.75,368709,4587390,others,healthy,other,3.6,2.1,0.008,9.249625,3.76591875,6.334912,5.17138125,0,24.521837,0.024521837,3,0.957196208,3.195729111,0.980857711,2.166666667,0.333333333,0.666666667,0.666666667,0.4958659,0.181027967,2.931717264,0.004717297718906,zone1,5.670455893,2.281959322,5.099019514,1,zone1,0,0.265306122
2743,Marugan,Spain,9,Pinus pinea,dominant,42.7,368702,4587399,others,healthy,other,10.7,5.1,0.812,342.6192078,120.584703,95.722725,100.78588,0,659.7125158,0.659712516,2,0.957196208,3.195729111,0.980857711,2.166666667,0.5,1,0.666666667,0.370358767,0.669781931,1.386294361,0.143200861734093,zone3,3.33220451,1.340977743,4.123105626,1,zone3,1,0.635514019
